Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
N	454,254106	NaN	454,254022	-0,184918561	C34H33N		2498,909668
N	454,347857	NaN	454,347922	0,143062171	C33H45N		11714,86133
N	456,269813	NaN	456,269672	-0,309027772	C34H35N		3519,692871
N	456,363453	NaN	456,363572	0,260757009	C33H47N		3875,300293
N	458,191568	NaN	458,191422	-0,318644115	C35H25N		466,694672
N	458,285362	NaN	458,285323	-0,085099823	C34H37N		3933,130859
N	458,379194	NaN	458,379222	0,061084793	C33H49N		6682,304688
N	460,207173	NaN	460,207072	-0,219466423	C35H27N		578,635498
N	460,301152	NaN	460,300973	-0,388875997	C34H39N		4799,753906
N	460,394849	NaN	460,394872	0,049957116	C33H51N		10492,66504
N	462,222796	NaN	462,222722	-0,160095981	C35H29N		1080,712036
N	462,316629	NaN	462,316622	-0,015141138	C34H41N		7205,013672
N	462,410501	NaN	462,410522	0,045414192	C33H53N		494,394196
N	464,23853	NaN	464,238372	-0,340342396	C35H31N		1514,05896
N	464,332204	NaN	464,332272	0,146446853	C34H43N		5136,689941
N	464,426243	NaN	464,426173	-0,150723633	C33H55N		566,530151
N	466,254147	NaN	466,254022	-0,268094202	C35H33N		1953,475708
N	466,347978	NaN	466,347922	-0,120082019	C34H45N		7695,67334
N	466,441847	NaN	466,441823	-0,051453362	C33H57N		490,159821
N	468,269745	NaN	468,269672	-0,155893077	C35H35N		2423,347168
N	468,363725	NaN	468,363572	-0,3266693	C34H47N		11897,93359
N	470,285431	NaN	470,285323	-0,229647822	C35H37N		3181,084961
N	470,379217	NaN	470,379222	0,010629721	C34H49N		3980,327637
N	472,207103	NaN	472,207072	-0,065649165	C36H27N		613,963745
N	472,300982	NaN	472,300973	-0,019055646	C35H39N		4014,719238
N	472,394897	NaN	472,394872	-0,052921828	C34H51N		6797,246094
N	474,22285	NaN	474,222722	-0,269915367	C36H29N		674,703308
N	474,316509	NaN	474,316622	0,238237487	C35H41N		4882,942871
N	474,410547	NaN	474,410522	-0,052696976	C34H53N		11034,60645
N	476,238364	NaN	476,238372	0,01679831	C36H31N		1052,060913
N	476,332135	NaN	476,332272	0,287614357	C35H43N		6918,074219
N	476,426286	NaN	476,426173	-0,237182603	C34H55N		474,529816
N	478,254114	NaN	478,254022	-0,192366391	C36H33N		1475,134521
N	478,347987	NaN	478,347922	-0,135884357	C35H45N		5200,446289
N	478,441897	NaN	478,441823	-0,154668753	C34H57N		573,308044
N	480,269537	NaN	480,269672	0,281092078	C36H35N		1735,525269
N	480,363504	NaN	480,363572	0,141559444	C35H47N		7377,695801
N	482,285465	NaN	482,285323	-0,294431518	C36H37N		2530,321777
N	482,379165	NaN	482,379222	0,118164294	C35H49N		11420,25781
N	484,300985	NaN	484,300973	-0,02477798	C36H39N		3221,544189
N	484,39476	NaN	484,394872	0,231216321	C35H51N		3832,710205
N	486,222786	NaN	486,222722	-0,131626921	C37H29N		420,547821
N	486,316591	NaN	486,316622	0,06374448	C36H41N		3696,578369
N	486,410431	NaN	486,410522	0,187084769	C35H53N		6494,716797
N	488,238211	NaN	488,238372	0,329756957	C37H31N		717,307983
N	488,332434	NaN	488,332272	-0,331741335	C36H43N		4619,910645
N	488,426332	NaN	488,426173	-0,32553538	C35H55N		10155,04395
N	490,254036	NaN	490,254022	-0,028556624	C37H33N		1018,88562
N	490,347947	NaN	490,347922	-0,050984207	C36H45N		7067,628906
N	490,441893	NaN	490,441823	-0,142728448	C35H57N		619,163025
N	492,269697	NaN	492,269672	-0,050785172	C37H35N		1443,104492
N	492,363648	NaN	492,363572	-0,15435748	C36H47N		5046,885254
N	492,457634	NaN	492,457472	-0,328962416	C35H59N		568,950073
N	494,285354	NaN	494,285323	-0,062716813	C37H37N		1830,739014
N	494,379335	NaN	494,379222	-0,228569477	C36H49N		7146,188965
N	496,301174	NaN	496,300973	-0,404996184	C37H39N		2316,213867
N	496,394804	NaN	496,394872	0,136987717	C36H51N		11002,71191
N	498,316584	NaN	498,316622	0,076256738	C37H41N		3126,928223
N	498,4106	NaN	498,410522	-0,156497499	C36H53N		3597,196045
N	500,238524	NaN	500,238372	-0,303855139	C38H31N		527,772705
N	500,33213	NaN	500,332272	0,283811395	C37H43N		3544,467285
N	500,426149	NaN	500,426173	0,047959122	C36H55N		6231,354004
N	502,254018	NaN	502,254022	0,007964098	C38H33N		736,619141
N	502,347997	NaN	502,347922	-0,149298916	C37H45N		4589,807129
N	502,442012	NaN	502,441823	-0,376162953	C36H57N		8876,067383
