
#Abundancia das classes heteroatomicas
#Intensidade total: 11619373.000000
#Classe	Int. Relativa (%)
#Intensidade total da classe: 1898262.250000
DBE	Int. Relativa (%)
1	0.087205
2	5.324753
3	3.391819
4	2.429319
5	6.835358
6	12.707816
7	14.946843
8	9.906130
9	7.400059
10	6.618631
11	6.382407
12	5.766871
13	4.545957
14	4.013328
15	2.701621
16	3.030808
17	1.792360
18	0.908923
19	0.827527
20	0.317228
21	0.065033

Distribuicao da quantidade de carbonos no DBE1 da classe O4
Num. C	Intensidade
24	1655.372803

Distribuicao da quantidade de carbonos no DBE2 da classe O4
Num. C	Intensidade
24	3761.314453
25	0.000000
26	5252.243652
27	4269.763672
28	5900.487793
29	6949.409180
30	10428.052734
31	10276.793945
32	19868.630859
33	8603.362305
34	7889.508789
35	5620.283203
36	5059.128418
37	0.000000
38	3470.599609
39	3728.207031

Distribuicao da quantidade de carbonos no DBE3 da classe O4
Num. C	Intensidade
23	2472.751709
24	3234.821289
25	3635.817139
26	0.000000
27	4730.301270
28	5670.206055
29	5312.126465
30	6339.293945
31	6335.173340
32	6921.620117
33	6435.937012
34	0.000000
35	0.000000
36	5408.577148
37	4488.572266
38	0.000000
39	0.000000
40	0.000000
41	3400.417480

Distribuicao da quantidade de carbonos no DBE4 da classe O4
Num. C	Intensidade
23	1922.856201
24	2676.062988
25	3396.697266
26	3171.656494
27	4544.457031
28	3990.812012
29	5007.618164
30	4558.125488
31	4085.406494
32	4474.069336
33	0.000000
34	4366.733887
35	0.000000
36	0.000000
37	3920.346191

Distribuicao da quantidade de carbonos no DBE5 da classe O4
Num. C	Intensidade
20	35875.925781
21	1720.428101
22	0.000000
23	0.000000
24	4372.937500
25	4857.520020
26	7731.145996
27	10456.350586
28	11155.148438
29	25263.218750
30	7821.421875
31	6990.135742
32	4894.725586
33	4714.607910
34	0.000000
35	0.000000
36	3899.460205

Distribuicao da quantidade de carbonos no DBE6 da classe O4
Num. C	Intensidade
20	6045.096191
21	0.000000
22	0.000000
23	0.000000
24	4951.351074
25	5370.474121
26	8573.594727
27	14758.370117
28	21131.226562
29	45198.375000
30	25341.300781
31	20799.839844
32	18227.121094
33	12353.309570
34	0.000000
35	8166.952637
36	8151.659668
37	12498.702148
38	23855.585938
39	5804.711914

Distribuicao da quantidade de carbonos no DBE7 da classe O4
Num. C	Intensidade
20	3891.959717
21	0.000000
22	0.000000
23	0.000000
24	4435.555176
25	5721.017090
26	7658.911133
27	13438.075195
28	18286.011719
29	30584.498047
30	24674.275391
31	27305.060547
32	42781.460938
33	25029.470703
34	18206.312500
35	12361.430664
36	10142.589844
37	12115.826172
38	21814.785156
39	0.000000
40	0.000000
41	0.000000
42	5283.017090

Distribuicao da quantidade de carbonos no DBE8 da classe O4
Num. C	Intensidade
20	2836.425293
21	2188.636719
22	2538.636230
23	0.000000
24	4241.799805
25	5038.773926
26	7152.384277
27	10847.135742
28	13733.014648
29	19268.007812
30	18031.976562
31	17739.408203
32	21503.906250
33	15749.065430
34	12565.566406
35	0.000000
36	9596.988281
37	0.000000
38	8306.656250
39	10033.810547
40	0.000000
41	6672.132324

Distribuicao da quantidade de carbonos no DBE9 da classe O4
Num. C	Intensidade
22	2303.368896
23	0.000000
24	3395.241211
25	4740.832520
26	5714.741211
27	8898.143555
28	10800.957031
29	12464.975586
30	12173.347656
31	12637.362305
32	14291.351562
33	11963.372070
34	9542.817383
35	9363.931641
36	0.000000
37	0.000000
38	7867.800293
39	6602.190430
40	7712.086426

Distribuicao da quantidade de carbonos no DBE10 da classe O4
Num. C	Intensidade
22	2438.479004
23	0.000000
24	0.000000
25	4208.429688
26	5993.783203
27	7361.785645
28	9063.557617
29	10521.715820
30	13503.774414
31	11355.016602
32	12772.491211
33	11148.750000
34	10591.757812
35	9484.265625
36	9183.590820
37	0.000000
38	8011.585449

Distribuicao da quantidade de carbonos no DBE11 da classe O4
Num. C	Intensidade
23	3072.982910
24	3220.556641
25	4080.635010
26	5842.489746
27	6126.630371
28	8180.470215
29	8768.535156
30	8542.591797
31	9388.423828
32	10024.905273
33	9075.100586
34	9983.437500
35	9007.892578
36	8904.487305
37	8314.743164
38	0.000000
39	0.000000
40	8620.946289

Distribuicao da quantidade de carbonos no DBE12 da classe O4
Num. C	Intensidade
22	3201.563721
23	3236.648926
24	0.000000
25	4607.392090
26	5222.292480
27	5895.555664
28	5939.515625
29	6679.001953
30	6745.907715
31	7031.762207
32	8430.424805
33	7010.487305
34	7324.268555
35	7399.355469
36	0.000000
37	6931.437500
38	7061.821777
39	7715.863770
40	9037.041016

Distribuicao da quantidade de carbonos no DBE13 da classe O4
Num. C	Intensidade
23	2900.307373
24	3408.854492
25	0.000000
