
#Abundancia das classes heteroatomicas
#Intensidade total: 7457151.500000
#Classe	Int. Relativa (%)
35	1350.967651
36	1780.929810
37	1413.409302
38	1932.475220
39	1264.982056
40	1515.834839
41	1166.739502
42	1056.077271
43	1222.567871
44	1243.625000
45	1117.688110
46	978.315918
47	1033.775024
48	963.194397
49	724.520142
50	636.551941
51	651.147400
52	826.724915
53	768.368286

Distribuicao da quantidade de carbonos no DBE23 da classe N
Num. C	Intensidade
33	880.229553
34	830.760559
35	788.519104
36	1055.197388
37	1002.755493
38	1037.882690
39	954.213318
40	947.550537
41	1072.716064
42	890.126038
43	720.236694
44	1008.969727
45	976.444824
46	1048.572021
47	876.265442
48	667.512634
49	727.854004
50	696.956543
51	0.000000
52	0.000000
53	698.480164
54	690.872986

Distribuicao da quantidade de carbonos no DBE24 da classe N
Num. C	Intensidade
36	692.209961
37	0.000000
38	731.325867
39	779.326233
40	718.328491
41	676.260437
42	669.767700
43	776.273560
44	0.000000
45	650.561279

Distribuicao da quantidade de carbonos no DBE32 da classe N
Num. C	Intensidade
63	811.775940


#Abundancia relativa do DBE na Classe Heteroatomica NO
#Intensidade total da classe: 270286.718750
DBE	Int. Relativa (%)
10	1.905748
11	2.909813
12	3.380467
13	12.694526
14	15.047202
15	12.689384
16	12.683389
17	12.200109
18	11.538818
19	7.770975
20	5.038898
21	2.140689

Distribuicao da quantidade de carbonos no DBE10 da classe NO
Num. C	Intensidade
34	854.923096
35	783.379761
36	663.735718
37	741.450073
38	669.979248
39	740.265991
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	697.248474

Distribuicao da quantidade de carbonos no DBE11 da classe NO
Num. C	Intensidade
32	700.894470
33	0.000000
34	693.737793
35	731.473755
36	672.729187
37	722.628967
38	835.869629
39	659.778687
40	691.252380
41	753.876465
42	674.493408
43	0.000000
44	0.000000
45	728.102783

Distribuicao da quantidade de carbonos no DBE12 da classe NO
Num. C	Intensidade
32	720.315796
33	740.942139
34	652.843994
35	647.560852
36	826.835815
37	635.883118
38	737.485474
39	0.000000
40	634.628052
41	699.488098
42	727.864441
43	0.000000
44	720.357117
45	0.000000
46	0.000000
47	681.225281
48	711.523376

Distribuicao da quantidade de carbonos no DBE13 da classe NO
Num. C	Intensidade
27	736.087830
28	717.391663
29	736.502380
30	800.642334
31	1072.971069
32	925.068420
33	881.981689
34	1205.881104
35	1047.763306
36	1195.215454
37	1381.882080
38	1495.039551
39	1257.012207
40	1316.944214
41	1248.690430
42	1236.047729
43	1228.616577
44	1353.728760
45	1200.788574
