
#Abundancia das classes heteroatomicas
#Intensidade total: 8710929.000000
#Classe	Int. Relativa (%)

Distribuicao da quantidade de carbonos no DBE18 da classe NO2
Num. C	Intensidade
22	1146.496338
23	3537.092285
24	5599.651367
25	6959.386719
26	5788.146973
27	5282.521973
28	3759.149170
29	3286.218994
30	2972.321289
31	2097.705811
32	2026.606689
33	1799.368530
34	1798.145142
35	1303.643921
36	1024.553833
37	0.000000
38	837.188538

Distribuicao da quantidade de carbonos no DBE19 da classe NO2
Num. C	Intensidade
24	6090.559570
25	14875.286133
26	15984.273438
27	11725.023438
28	7907.246094
29	6088.848145
30	4646.364746
31	3598.045410
32	2581.474609
33	2001.897461
34	1992.519043
35	1690.615967
36	1326.894531
37	1178.202026
38	895.009399
39	811.145447
40	816.464844

Distribuicao da quantidade de carbonos no DBE20 da classe NO2
Num. C	Intensidade
25	1179.872192
26	4138.252441
27	7880.558105
28	10171.508789
29	9747.522461
30	7038.855469
31	4968.781738
32	4461.602051
33	2740.122559
34	2405.951172
35	1947.600098
36	1505.087891
37	1407.765747
38	1089.190918
39	997.185303

Distribuicao da quantidade de carbonos no DBE21 da classe NO2
Num. C	Intensidade
26	3183.318848
27	10021.164062
28	13815.595703
29	12793.404297
30	10386.331055
31	8478.462891
32	5825.841797
33	4417.267090
34	3475.031006
35	2485.595947
36	1865.878174
37	1846.758057
38	1393.762695
39	1157.799805
40	1017.503052
41	837.726685

Distribuicao da quantidade de carbonos no DBE22 da classe NO2
Num. C	Intensidade
28	4365.648926
29	11336.826172
30	13891.038086
31	11963.073242
32	9078.722656
33	6584.900879
34	5019.323242
35	3586.407227
36	2767.733398
37	2079.042480
38	1736.299927
39	1371.224243
40	1218.968384
41	986.085327

Distribuicao da quantidade de carbonos no DBE23 da classe NO2
Num. C	Intensidade
29	1770.384888
30	4891.457031
31	8756.342773
32	10241.427734
33	9083.354492
34	6808.217285
35	4908.219238
36	3434.164795
37	2642.450928
38	2014.508301
39	1619.912598
40	1287.197388
41	988.214355
42	1031.276245

Distribuicao da quantidade de carbonos no DBE24 da classe NO2
Num. C	Intensidade
30	2838.496094
31	7481.086426
32	9460.899414
33	8835.901367
34	7595.775391
35	6193.305176
36	4662.937988
37	3690.864746
38	2732.263916
39	1949.694824
40	1446.991455
41	1093.275757
42	802.488342

Distribuicao da quantidade de carbonos no DBE25 da classe NO2
Num. C	Intensidade
32	1962.807495
33	5023.892090
34	6317.272461
35	6338.098633
36	5396.447754
37	4397.704102
38	3574.232666
39	2635.078857
40	1910.601562
41	1484.448486
42	1136.209595
43	1067.627441

Distribuicao da quantidade de carbonos no DBE26 da classe NO2
Num. C	Intensidade
34	1873.570312
35	3305.329346
36	4417.822266
37	4185.138672
38	3435.752686
39	2908.896973
40	2325.903320
41	1860.834351
42	1380.873047
43	918.800415
44	847.175964

Distribuicao da quantidade de carbonos no DBE27 da classe NO2
Num. C	Intensidade
35	1659.010498
36	2412.417725
37	2646.775879
38	3516.249512
39	2957.750488
40	2542.625488
41	2041.082275
42	1445.749146
43	1149.477539
44	0.000000
45	813.971680

Distribuicao da quantidade de carbonos no DBE28 da classe NO2
Num. C	Intensidade
37	1327.713501
38	2039.751221
39	2452.486328
40	2530.376953
41	2533.490967
42	1865.892212
43	1446.464966
44	1151.449463
45	825.863953

Distribuicao da quantidade de carbonos no DBE29 da classe NO2
Num. C	Intensidade
39	1028.884399
40	1585.556519
41	1619.319580
42	1581.770508
43	1439.760132
44	1279.046387
45	1018.409180
46	1041.234253

Distribuicao da quantidade de carbonos no DBE30 da classe NO2
Num. C	Intensidade
41	1067.726196
42	1505.557373
43	1385.565430
44	1514.042847
45	1281.345581
46	875.262756
47	845.807190

Distribuicao da quantidade de carbonos no DBE31 da classe NO2
Num. C	Intensidade
43	954.301025
44	1331.242920
45	1286.788818
46	1177.861084

Distribuicao da quantidade de carbonos no DBE32 da classe NO2
Num. C	Intensidade
45	957.255249
46	1071.940796
47	997.492920
48	928.147095

Distribuicao da quantidade de carbonos no DBE33 da classe NO2
Num. C	Intensidade
46	893.200562
47	1049.330078
48	979.604248


#Abundancia relativa do DBE na Classe Heteroatomica NO3
#Intensidade total da classe: 260934.953125
DBE	Int. Relativa (%)
2	0.621910
8	0.306054
16	1.956098
17	5.201178
18	6.823094
19	8.996119
20	9.745363
21	10.765187
22	10.809684
23	9.706465
24	8.616086
25	8.036819
26	5.465461
27	4.565643
28	3.067107
29	2.804353
30	1.565391
31	0.947996

Distribuicao da quantidade de carbonos no DBE2 da classe NO3
Num. C	Intensidade
26	821.141602
27	0.000000
28	801.638977

Distribuicao da quantidade de carbonos no DBE8 da classe NO3
Num. C	Intensidade
29	798.600586

Distribuicao da quantidade de carbonos no DBE16 da classe NO3
Num. C	Intensidade
22	807.254395
23	0.000000
24	0.000000
